                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55257,                 3.1406,                 1.0839,                 0.0164,                      1,                0.35355,                0.34417,                0.24258,                 3.3574,                0.66691,                0.00023,                0.00023,                0.00023
                      2,                0.52578,                 2.2193,                 1.0505,                0.53587,                0.75091,                0.75357,                0.70021,                0.38154,                 2.2768,                0.75649,             0.00046535,             0.00046535,             0.00046535
                      3,                0.56926,                 1.7297,                 1.0449,                0.75886,                0.93432,                0.96656,                0.90466,                0.38368,                 1.5619,                0.74964,             0.00069594,             0.00069594,             0.00069594
                      4,                0.54583,                 1.5151,                 1.0286,                0.83183,                0.92153,                0.96871,                0.85254,                0.44427,                 1.7599,                0.77538,             0.00092179,             0.00092179,             0.00092179
                      5,                0.56986,                 1.3247,                 1.0376,                0.89433,                0.95188,                0.99454,                0.93765,                0.35788,                 0.9769,                 0.7419,              0.0009604,              0.0009604,              0.0009604
                      6,                0.51043,                 1.2539,                 1.0031,                0.78695,                0.89717,                0.95775,                 0.8911,                0.39267,                 1.2865,                0.74923,              0.0009505,              0.0009505,              0.0009505
                      7,                0.50475,                 1.1785,                0.98908,                0.95288,                0.96072,                0.99157,                0.94718,                0.32467,                0.94912,                0.71099,              0.0009406,              0.0009406,              0.0009406
                      8,                0.50931,                 1.1914,                 1.0258,                0.94014,                 0.9649,                  0.995,                0.96691,                0.34926,                0.74153,                0.73237,              0.0009307,              0.0009307,              0.0009307
                      9,                0.47602,                 1.0788,                0.97666,                0.93193,                0.96796,                 0.9732,                0.94758,                0.30094,                0.86074,                0.69457,              0.0009208,              0.0009208,              0.0009208
                     10,                0.48185,                 1.0754,                0.98994,                 0.9914,                      1,                  0.995,                0.97031,                0.29064,                0.61966,                0.68418,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.4941,                0.95365,                0.98749,                0.97507,                 0.9881,                0.99422,                0.97153,                0.28503,                0.62134,                0.68275,               0.000901,               0.000901,               0.000901
                     12,                0.48283,                 0.9892,                0.99416,                0.96525,                0.97202,                  0.992,                0.96621,                0.29334,                0.63101,                0.70058,              0.0008911,              0.0008911,              0.0008911
                     13,                0.48105,                 0.9299,                0.97706,                0.97501,                0.98752,                0.99283,                0.95398,                0.34875,                0.68697,                0.73382,              0.0008812,              0.0008812,              0.0008812
                     14,                0.47403,                0.91384,                0.98712,                0.98869,                0.99096,                  0.995,                0.95929,                0.34096,                0.58973,                0.70487,              0.0008713,              0.0008713,              0.0008713
                     15,                0.45976,                  0.921,                0.96981,                0.98806,                0.98201,                  0.995,                0.97828,                0.24569,                0.54683,                0.68121,              0.0008614,              0.0008614,              0.0008614
                     16,                0.45521,                0.83693,                0.97852,                0.98408,                      1,                  0.995,                0.97456,                0.24928,                0.53755,                0.67996,              0.0008515,              0.0008515,              0.0008515
                     17,                0.42998,                 0.7392,                0.95526,                0.99568,                      1,                  0.995,                0.97157,                0.25535,                 0.4624,                0.67626,              0.0008416,              0.0008416,              0.0008416
                     18,                0.42478,                0.73243,                0.94976,                0.99181,                0.99288,                  0.995,                0.98228,                 0.2327,                0.48849,                 0.6728,              0.0008317,              0.0008317,              0.0008317
                     19,                0.42843,                0.74108,                0.96283,                0.99222,                 0.9978,                  0.995,                 0.9828,                0.22807,                0.46245,                0.67314,              0.0008218,              0.0008218,              0.0008218
                     20,                0.42276,                0.72163,                0.95564,                0.98329,                  0.989,                  0.995,                0.98848,                0.23306,                0.47922,                0.66491,              0.0008119,              0.0008119,              0.0008119
                     21,                0.41439,                0.72176,                0.95109,                0.97353,                 0.9848,                0.99458,                0.98719,                 0.2596,                0.49157,                0.68024,               0.000802,               0.000802,               0.000802
                     22,                0.39872,                 0.7337,                0.95237,                0.99563,                      1,                  0.995,                0.98251,                0.26026,                0.44274,                0.67883,              0.0007921,              0.0007921,              0.0007921
                     23,                0.37578,                0.63707,                0.93243,                 0.9849,                0.96691,                0.99386,                0.97615,                0.22284,                0.50012,                0.66163,              0.0007822,              0.0007822,              0.0007822
                     24,                0.40752,                0.65532,                0.95825,                0.99587,                      1,                  0.995,                0.98971,                0.21994,                0.40231,                0.66181,              0.0007723,              0.0007723,              0.0007723
                     25,                0.40306,                0.67968,                0.95716,                0.98658,                0.99771,                  0.995,                0.99183,                 0.2342,                0.44545,                0.66566,              0.0007624,              0.0007624,              0.0007624
                     26,                0.40401,                0.65074,                0.94531,                 0.9889,                0.95179,                  0.995,                0.98673,                0.23559,                0.43956,                0.67315,              0.0007525,              0.0007525,              0.0007525
                     27,                0.37728,                0.62207,                0.94213,                0.99488,                0.99941,                  0.995,                0.98537,                 0.2417,                0.38183,                0.67212,              0.0007426,              0.0007426,              0.0007426
